PLACEKEY,LATITUDE,LONGITUDE,TOP_CATEGORY,CITY,REGION,POSTAL_CODE,STREET_ADDRESS,RAW_VISIT_COUNTS,RAW_VISITOR_COUNTS,IS_SYNTHETIC,WKT_AREA_SQ_METERS,ISO_COUNTRY_CODE,NORMALIZED_VISITS_BY_STATE_SCALING,NORMALIZED_VISITS_BY_REGION_NAICS_VISITS,NORMALIZED_VISITS_BY_REGION_NAICS_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,NORMALIZED_VISITS_BY_TOTAL_VISITORS
zzy-222@8f6-cgg-73q,33.884801,-88.165452,Death Care Services,Sulligent,AL,35586,Bankhead St,231.0,84.0,True,1236.0,US,2870.0,0.03547022457,0.03925746013,8.322425918e-05,0.0007185150162
22n-225@8gk-tv4-59f,33.51582,-86.80632,"Advertising, Public Relations, and Related Services",Birmingham,AL,35203,209 20th St N,1504.0,925.0,False,5230.0,US,18496.0,0.3846355231,0.4937747591,0.000527465493,0.00463121644
223-222@8gn-9sh-mzf,33.20689,-87.533573,Restaurants and Other Eating Places,Tuscaloosa,AL,35401,205 University Blvd E,1150.0,931.0,False,657.0,US,14406.0,0.01317446693,0.02187638913,0.0004179199608,0.003590128356
zzy-222@8gn-kmr-cqz,32.665014,-85.489605,Death Care Services,Auburn,AL,36830,State Highway 147 @ Farmville Rd,74.0,74.0,True,1236.0,US,958.0,0.01099142223,0.01216632139,2.680871531e-05,0.0002314993371
226-222@8gm-hvb-tgk,33.615194,-85.825285,Travel Arrangement and Reservation Services,Oxford,AL,36203,653 Snow St,1606.0,889.0,True,1236.0,US,19989.0,0.978418301,1.068078783,0.000574935978,0.004978290567
228-222@5pn-676-4qf,34.505301,-87.729163,Drycleaning and Laundry Services,Russellville,AL,35653,115 Franklin St NW,188.0,147.0,False,775.0,US,2344.0,0.03595555836,0.03931205671,6.8177056e-05,0.0005869062492
228-222@5pm-jxd-kmk,34.481775,-87.2914,Investigation and Security Services,Moulton,AL,35650,14369 Court St,167.0,117.0,False,384.0,US,2077.0,0.03800964539,0.05072995984,5.954558544e-05,0.0005155984796
zzy-222@8f3-fv9-fxq,30.691796,-88.039922,Other Personal Services,Mobile,AL,36602,155 Church St,7609.0,3920.0,False,19399.0,US,94438.0,2.844461011,5.661854207,0.00268975512,0.02316734621
22c-223@8gk-tsz-kxq,33.447743,-86.84554,Services to Buildings and Dwellings,Birmingham,AL,35209,131 Citation Ct,186.0,167.0,False,2187.0,US,2343.0,0.01124530388,0.01341659511,6.825133746e-05,0.0005849499223
227-222@8f3-p2r-rc5,30.516713,-87.903574,Religious Organizations,Fairhope,AL,36532,300 S Section St,479.0,219.0,False,4723.0,US,6055.0,0.01909401008,0.02230110332,0.0001845735205,0.001548094402
226-223@5pm-mtk-8y9,34.754303,-86.692873,Restaurants and Other Eating Places,Huntsville,AL,35806,445 Providence Main St NW Ste 101,16.0,14.0,False,704.0,US,201.0,0.0001786939183,0.00029743359,5.743498365e-06,4.955993427e-05
zzy-222@8gm-ycm-w6k,32.050259,-86.223573,Restaurants and Other Eating Places,Ramer,AL,36069,4879 State Highway 94,222.0,51.0,False,221.0,US,2753.0,0.002461961777,0.004107809524,7.932337241e-05,0.0006873200449
223-223@8gk-tv9-td9,33.496043,-86.802574,Religious Organizations,Birmingham,AL,35205,1515 12th Ave S,230.0,161.0,False,4064.0,US,2868.0,0.009735718323,0.0113912182,8.42121956e-05,0.0007204202386
zzy-222@5pm-h2k-t9z,34.675037,-86.760366,Automotive Repair and Maintenance,Madison,AL,35758,Westchester Dr,143.0,109.0,False,812.0,US,1774.0,0.005620686212,0.006904062405,5.131284805e-05,0.0004464771779
zzw-222@8gn-24s-w49,32.329364,-86.25858,Automotive Repair and Maintenance,Montgomery,AL,36116,2415 E South Blvd,688.0,395.0,False,5350.0,US,8527.0,0.02682252025,0.03296605649,0.0002459093405,0.002124911425
224-222@8gk-tv2-6kz,33.510414,-86.786511,Restaurants and Other Eating Places,Birmingham,AL,35233,744 29th St S,245.0,228.0,False,317.0,US,3017.0,0.002660250415,0.004438726382,8.663346914e-05,0.0007532334736
zzw-226@8gm-mrs-4y9,34.275926,-86.207012,Religious Organizations,Albertville,AL,35950,204 Bolinger St,114.0,52.0,False,524.0,US,1409.0,0.004954380092,0.00579940813,4.091016033e-05,0.0003534251753
zzy-222@8f4-bnq-nqz,32.207329,-88.044241,Religious Organizations,Pennington,AL,36916,495 Old Lck Rd,299.0,69.0,True,1236.0,US,3694.0,0.01276628424,0.01495646922,0.0001063466463,0.0009258676548
zzy-223@8f5-5q8-4vz,30.412784,-87.598809,Religious Organizations,Elberta,AL,36530,12891 Main St,107.0,28.0,False,779.0,US,1337.0,0.004547926359,0.005323987692,3.910492802e-05,0.0003355508771
223-222@8f3-g9b-dn5,30.765875,-88.075619,Religious Organizations,Chickasaw,AL,36611,251 N Craft Hwy,26.0,26.0,False,511.0,US,320.0,0.0009454434599,0.001107167274,9.637983592e-06,8.043664792e-05
222-222@5pm-fpv-vpv,34.782863,-86.937003,Restaurants and Other Eating Places,Athens,AL,35611,1529 US Highway 72 E,2658.0,1997.0,False,549.0,US,33121.0,0.03492634343,0.04755595104,0.0009496451718,0.00820551778
224-225@8gk-tv2-2hq,33.51284,-86.79078,Restaurants and Other Eating Places,Birmingham,AL,35233,2721 5th Ave S,322.0,200.0,False,992.0,US,4014.0,0.004212387318,0.005745252231,0.0001153857776,0.0009933002301
224-222@8f3-p2x-q9f,30.529815,-87.898255,Religious Organizations,Fairhope,AL,36532,349 Fairwood Blvd,264.0,222.0,False,1261.0,US,3280.0,0.01178644485,0.01381305307,9.313205439e-05,0.0008099863392
222-223@8gn-23s-4n5,32.369186,-86.349423,Restaurants and Other Eating Places,Montgomery,AL,36108,3801 Day St,747.0,488.0,False,867.0,US,9234.0,0.00978011732,0.01332325668,0.0002643585554,0.002293628185
zzw-223@8gh-wnc-p9z,31.19153,-85.387875,Restaurants and Other Eating Places,Dothan,AL,36301,1912 Ross Clark Cir,212.0,186.0,False,325.0,US,2626.0,0.002829225516,0.003847859189,7.584507748e-05,0.000656057092
zzy-224@8gm-5c7-9vf,34.050679,-86.872656,Restaurants and Other Eating Places,Hanceville,AL,35077,426 Al-69,3778.0,2970.0,False,2913.0,US,46742.0,0.05009798883,0.06819329827,0.001343527197,0.01164499113
225-222@8f3-fv9-3wk,30.687792,-88.050157,Restaurants and Other Eating Places,Mobile,AL,36602,658 Government St,1415.0,1121.0,False,475.0,US,17587.0,0.01899361012,0.02580819498,0.0005081141579,0.00438522956
222-226@5pm-mpy-28v,34.846066,-86.710463,Restaurants and Other Eating Places,Harvest,AL,35749,5850 Highway 53,351.0,306.0,False,137.0,US,4352.0,0.004667524264,0.006348405211,0.0001253192144,0.001083839336
222-222@8gn-9rr-hwk,33.207449,-87.570863,"Justice, Public Order, and Safety Activities",Tuscaloosa,AL,35401,600 Lurleen B Wallace Blvd S,57.0,57.0,False,259.0,US,703.0,0.01893652489,0.0274860344,1.964127259e-05,0.0001721706961
228-222@8f3-ftn-5fz,30.673716,-88.121362,Restaurants and Other Eating Places,Mobile,AL,36606,3215C Bel Air Mall,205.0,140.0,False,193.0,US,2540.0,0.002709448197,0.003689030462,7.306400334e-05,0.0006343225071
